text,label
"Dhoka hai ye app, mat chalao.",0
Barbaad ho gaya mera sara data.,0
"Khatam, tata, goodbye... app totally dead.",0
Slowest loading speed in the history of apps.,0
"Avoid this app at all costs, it's a scam.",0
"Total failure, nothing works as promised.",0
Extremely disappointed with the service.,0
The new layout is horizontal trash.,0
Battery drain is insane after the patch.,0
Doesn't even open on my device. Trash.,0
Heating issue like a tandoor oven.,0
"Ram management is worst, consumes 2gb.",0
Login loop is killing me. Fix it!,0
"Yeah right, this app is totally perfect.",0
"Wow, another update that broke everything.",0
I just love how this app crashes every five minutes.,0
"Great job, nothing works anymore.",0
"Amazing customer service, they never reply.",0
"Oh nice, the button doesn’t work again.",0
"Fantastic, my data is gone forever.",0
Love waiting ten minutes for a page to load.,0
Best app ever… if you enjoy bugs and lag.,0
"Brilliant design, completely unusable in real life.",0
"Yeah sure, this is exactly what I wanted.",0
"Awesome, another error message to deal with.",0
"Great, the app froze again. Brilliant.",0
Love how smooth this laggy app is.,0
"Perfect timing, the server is down again.",0
"Wonderful update, now nothing opens.",0
"Nice, my payment failed again. Superb.",0
Love this amazing loading screen animation.,0
Excellent job deleting my progress.,0
"Wow, what a fast response time. Not.",0
"Totally reliable, it crashes daily.",0
Best feature is that nothing works.,0
"Great UI, shame it doesn’t function at all.",0
Love being logged out every hour.,0
"Fantastic performance, two FPS is great.",0
"Amazing, my order got cancelled again.",0
"Just perfect, the app won’t open.",0
"Nice update, ruined everything for me.",0
"Awesome support, no one answers the phone.",0
"Great experience, totally wasted my time today.",0
Love this super buggy masterpiece.,0
"Perfect app, can’t even sign in.",0
"Wonderful, another crash to report.",0
"So professional, lost my data again.",0
"Fantastic, the feature is missing completely.",0
"Love how secure this app is, it logged me out.",0
"Great job, my account is locked unexpectedly.",0
"Amazing UX, totally confusing for humans.",0
Love this flawless broken app.,0
"Awesome, the server timed out once more.",0
"Perfect, nothing loads on my high speed net.",0
"Wonderful service, very slow and pathetic.",0
Love these beautiful error screens.,0
"Fantastic, all my settings reset.",0
"Great app, eats my battery for breakfast.",0
"Love this update, full of bugs and glitches.",0
"Amazing, my cart is empty again after adding items.",0
"Perfect design, unusable for anyone.",0
"Nice app, crashes on login every time.",0
"Best experience ever, not even kidding (sarcastic).",0
"Wow, great job breaking the app again.",0
Superb update that broke my login flow.,0
"Wonderful, I love waiting 10 minutes for it to load.",0
"Brilliant, another useless feature added.",0
"Wah kya baat hai, data hi udd gaya pure system se.",0
"Shabash, mera phone heater bana diya is update ne.",0
"Kamaal hai, data gayab aur system hang ho gaya.",0
"Wah bhai wah, update ke baad app khul hi nahi raha.",0
"Boht sahi, customer care ne call hi cut kar diya.",0
"Mubarak ho, 1 star bhi jyada hai iske liye.",0
"Great design, just kidding, it really sucks.",0
"Wow, impressive failure rate.",0
Standard disaster from this team.,0
"Classic bug, totally expected this.",0
"Typical, the server is down again.",0
"Brilliant update, my phone is now a paperweight.",0
"Awesome, now my battery lasts 2 mins.",0
"Great job, the app is horizontal garbage now.",0
"Expected results, broken again.",0
"I clapped because it's finished, not because I like it.",0
It looks good but it's very slow.,0
Good effort but failed execution.,0
"I liked the previous version better, this one is slow.",0
Beautiful UI but full of bugs.,0
Friendly support but they couldn't fix it.,0
